Venue Name,Venue type,Venue address,Latitude,Longitude
"7th Brigade Park, Chermside",Park,"7th Brigade Park, 21 Kittyhawk Drive, Chermside",-27.3794,153.0303
A.J. Jones Recreation Reserve,Park,"A.J. Jones Recreation Reserve, 247 Cornwall Street,  Greenslopes",-27.502603,153.043796
"A.R.C. Hill Park, Virginia",Park,"A.R.C. Hill Park, 93 Goss Road, Virginia",-27.3844,153.0558
"Abbeville Street Park, Upper Mount Gravatt","Community Garden,Park","Abbeville Street Park, 41 Abbeville Street, Upper Mount Gravatt",-27.5451,153.09
"Abbott Street Park, Camp Hill",Park,"Abbott Street Park, 50 Abbott Street, Camp Hill",-27.4998,153.0859
"Acacia Park, St Lucia",Park,"Acacia Park, 279 Carmody Road, St Lucia",-27.4992,153.008
Acacia Ridge Community Garden,"Community Garden,Non-Council venue","Acacia Ridge Community Garden, 21 Hanify Street, Acacia Ridge",-27.5797,153.019
"Acacia Ridge Hall, Acacia Ridge",Community Hall,"Acacia Ridge Hall, 13 Coley Street, Acacia Ridge",-27.5874,153.0258
"Acacia Ridge Leisure Centre, Acacia Ridge",Swimming pool,"Acacia Ridge Leisure Centre, 1391 Beaudesert Road, Acacia Ridge",-27.5863,153.0263
"Acacia Ridge Tip Shop, Acacia Ridge",General Council venue,"Acacia Ridge Tip Shop, 46 Colebard Street West, Acacia Ridge",-27.5777,153.0007
"Acorn Circuit Park, Forest Lake",Park,"Acorn Circuit Park, 54 Acorn Circuit, Forest Lake",-27.6086,152.9665
Adam Smiddy Park,Park,"Adam Smiddy Park, 25 Park Road, Milton",-27.470603,153.004388
"Admiralty Towers II Park, Brisbane City",Park,"Admiralty Towers II Park, 501 Queen Street, Brisbane City",-27.4641,153.0315
"Advanx Street Park, Kenmore Hills",Park,"Advanx Street Park, 48 Advanx Street, Kenmore Hills",-27.5012,152.9357
"Akuna Street Park, Kenmore",Park,"Akuna Street Park, 114 Akuna Street, Kenmore",-27.5131,152.9503
"Alan Willing Place Park, The Gap",Park,"Alan Willing Place Park, 10 Bernarra Street, The Gap",-27.4482,152.9595
"Albany Creek Road Reserve, Bridgeman Downs",Park,"Albany Creek Road Reserve, 534 Albany Creek Road, Bridgeman Downs",-27.352,152.9848
"Albert Bishop Park, Nundah",Park,"Albert Bishop Park, 40 Hendley Avenue, Nundah",-27.405,153.0683
"Albion Overpass Park, Albion",Park,"Albion Overpass Park, 66 Albion Road, Albion",-27.4297,153.0385
"Albion Post Office Park, Albion",Park,"Albion Post Office Park, 389 Sandgate Road, Albion",-27.4291,153.0431
"Alcheringa Place Park, Robertson",Park,"Alcheringa Place Park, 39A Barrett Street, Robertson",-27.561,153.0539
"Alderley Grove Park, Alderley",Park,"Alderley Grove Park, 57 Chelford Street, Alderley",-27.4199,153.0077
"Aldren Street Park, Stafford Heights",Park,"Aldren Street Park, 1 Maryland Street, Stafford Heights",-27.3958,153.012
"Alexander Macpherson Park, Nudgee",Park,"Alexander Macpherson Park, 10B Student Street, Nudgee",-27.3721,153.0882
"Alexander Park, Moorooka",Park,"Alexander Park, 334 Beaudesert Road, Moorooka",-27.5389,153.0236
"Alexander Smith Place, South Brisbane",Park,"Alexander Smith Place, 63 Grey Street, South Brisbane",-27.472,153.0169
"Alfred & Lucinda Best Park, The Gap",Park,"Alfred & Lucinda Best Park, 89 Payne Road, The Gap",-27.4488,152.9539
"Algester Road Park (no. 515), Parkinson",Park,"Algester Road Park (no. 515), 515 Algester Road, Parkinson",-27.6097,153.0433
"Algester Road Park, Calamvale",Park,"Algester Road Park, 35 Hailey Place, Calamvale",-27.6365,153.0292
"Algoori Street Park, Morningside",Park,"Algoori Street Park, 121 Algoori Street, Morningside",-27.4627,153.0785
"Allamanda Street Park, The Gap",Park,"Allamanda Street Park, 41 Allamanda Street, The Gap",-27.4501,152.9362
"Allara Place Park, Eight Mile Plains",Park,"Allara Place Park, 2643 Logan Road, Eight Mile Plains",-27.5832,153.0967
"Allawah Street Park, Yeerongpilly",Park,"Allawah Street Park, 18 Allawah Street, Yeerongpilly",-27.5308,153.0105
"Amarina Avenue Park, Ashgrove",Park,"Amarina Avenue Park, 87 Amarina Avenue, Ashgrove",-27.4444,152.9864
"Amazons Place Park, Sinnamon Park",Park,"Amazons Place Park, 60 Thomas Macleod Avenue, Sinnamon Park",-27.5306,152.9523
"Amberjack Street Park, Manly West",Park,"Amberjack Street Park, 49 Amberjack Street, Manly West",-27.4724,153.1645
"Amelia Park, Gordon Park",Park,"Amelia Park, 54A Swan Street, Gordon Park",-27.4154,153.034
"Amott Street Park, Stafford Heights",Park,"Amott Street Park, 20 Ringrose Street, Stafford Heights",-27.3989,153.0165
"Anna Smith OBE Quota Park, Carindale",Park,"Anna Smith OBE Quota Park, 1159 Old Cleveland Road, Carindale",-27.5035,153.1061
"Annerley Hall, Annerley",Community Hall,"Annerley Hall, 13 Waldheim Street, Annerley",-27.5097,153.034
Annerley Library,Library,"Annerley Library, 448 Ipswich Road, Annerley",-27.5096,153.0331
"Anstead Bushland Reserve, Anstead",Park,"Anstead Bushland Reserve, 552 Hawksbury Road, Anstead",-27.5463,152.857
"Antrim Street Park, Acacia Ridge",Park,"Antrim Street Park, 21 Antrim Street, Acacia Ridge",-27.5939,153.0219
"Anzac Park, Toowong",Park,"Anzac Park, 100 Dean Street, Toowong",-27.4796,152.98
"Anzac Road Park, Carina Heights",Park,"Anzac Road Park, 49 Anzac Road, Carina Heights",-27.4985,153.0917
"Anzac Square, Brisbane City",Park,"Anzac Square, 228 Adelaide Street, Brisbane City",-27.4665,153.0266
"Appia Avenue Park, Seven Hills",Park,"Appia Avenue Park, 44A Appia Avenue, Seven Hills",-27.4795,153.07
"Arbor Street Park, Ferny Grove",Park,"Arbor Street Park, 1200 Samford Road, Ferny Grove",-27.4049,152.9378
"Archer Parade Park, Corinda",Park,"Archer Parade Park, 430 Cliveden Avenue, Corinda",-27.5466,152.9933
"Archer Street Park, Gordon Park",Park,"Archer Street Park, 26 Archer Street, Gordon Park",-27.4217,153.0249
"Arenga Street Park, Wakerley",Park,"Arenga Street Park, 2 Arenga Street, Wakerley",-27.4762,153.1523
"Argyle Place Park, Forest Lake",Park,"Argyle Place Park, 12 Lakeside Crescent, Forest Lake",-27.6237,152.9579
"Arnwood Street Park, Annerley",Park,"Arnwood Street Park, 21 Arnwood Place, Annerley",-27.5133,153.0402
"Arrabri Avenue Park, Mt Ommaney",Park,"Arrabri Avenue Park, 5 Westlake Drive, Mt Ommaney",-27.5472,152.9317
"Arthur Alfred Pointer Park, The Gap",Park,"Arthur Alfred Pointer Park, 30 Dillon Road, The Gap",-27.4534,152.9335
Arthur Davis Park,Park,"Arthur Davis Park, Flinders Parade, Sandgate",-27.3121,153.0683
"Arthur Postle Park, Acacia Ridge",Park,"Arthur Postle Park, 72 Oswin Street, Acacia Ridge",-27.584625,153.028283
"Ascot Park, Ascot",Park,"Ascot Park, 93 Kitchener Road, Ascot",-27.4298,153.063
"Ashgrove Avenue Park, Ashgrove",Park,"Ashgrove Avenue Park, 214 Ashgrove Avenue, Ashgrove",-27.4361,153.0037
Ashgrove Library,Library,"Ashgrove Library, 87 Amarina Avenue, Ashgrove",-27.443946,152.987098
"Ashgrove Memorial Park, Ashgrove",Park,"Ashgrove Memorial Park, 19 Kadanga Street, Ashgrove",-27.4448,152.9908
"Ashgrove Quarry Park, Ashgrove",Park,"Ashgrove Quarry Park, 142 St Johns Avenue, Ashgrove",-27.4442,152.9648
"Ashgrove Scenic Reserve, Ashgrove",Park,"Ashgrove Scenic Reserve, 121 St Johns Avenue, Ashgrove",-27.4421,152.9651
"Ashgrove Sportsground Park, Ashgrove",Park,"Ashgrove Sportsground Park, 258 Acacia Drive, Ashgrove",-27.4419,152.9735
"Ashridge Road Park, Darra",Park,"Ashridge Road Park, 148 Monier Road, Darra",-27.5613636,152.956675
Aspley mobile library,Mobile library,"Aspley mobile library, Corner Gayford and Albany Creek Roads, Aspley",-27.3636,153.0157
"Aspley Rest Park, Carseldine",Park,"Aspley Rest Park, 8 Graham Road, Carseldine",-27.3581,153.0149
Aspley Special School Garden,"Community Garden,Non-Council venue","Aspley Special School Garden, 751 Zillmere Road, Zillmere",-27.3569,153.0219
"Assembly Street Park (no. 75), Salisbury",Park,"Assembly Street Park (no. 75), 63 Fairlie Terrace, Salisbury",-27.5477,153.0242
"Assembly Street Park, Salisbury",Park,"Assembly Street Park, 59 Assembly Street, Salisbury",-27.5486,153.0256
"Austin Uhlmann Park, Morningside",Park,"Austin Uhlmann Park, 193 Richmond Road, Morningside",-27.4729,153.0806
"Avondale Park, Sinnamon Park",Park,"Avondale Park, 32 Blyde Street, Sinnamon Park",-27.5434,152.9449
"Bacton Road Park, Chandler",Park,"Bacton Road Park, 727 Tilley Road, Chandler",-27.5182,153.1538
"Badrick Place Park, The Gap",Park,"Badrick Place Park, 21 Inwood Place, The Gap",-27.4321,152.939
"Bakery Lane, Fortitude Valley",General Council venue,"Bakery Lane, 690 Ann Street, Fortitude Valley",-27.458021,153.03534
Balaangala Community Group Garden Space,"Community Garden,Non-Council venue","Balaangala Community Group Garden Space, 98 Yoorala Street, The Gap",-27.4494,152.9387
"Bald Hills Cemetery, Bracken Ridge",General Council venue,"Bald Hills Cemetery, 225 Barrett Street, Bracken Ridge",-27.3181,153.0334
"Balfour Park, Darra",Park,"Balfour Park, 85 Balfour Street, Darra",-27.5696,152.9557
"Balis Street Park, Holland Park West",Park,"Balis Street Park, 72 Marshall Road, Holland Park West",-27.5241,153.0617
"Ballinderry Street Park, Everton Park",Park,"Ballinderry Street Park, 17 Ballinderry Street, Everton Park",-27.3976,152.9829
"Balmoral Cemetery, Morningside",General Council venue,"Balmoral Cemetery, 441 Wynnum Road, Morningside",-27.4695,153.0659
"Balmoral Park, Morningside",Park,"Balmoral Park, 481 Wynnum Road, Morningside",-27.4721,153.0666
"Bancroft Park, Kelvin Grove",Park,"Bancroft Park, 360 Kelvin Grove Road, Kelvin Grove",-27.4438,153.006
"Bangalow Street Park (no. 192), Bridgeman Downs",Park,"Bangalow Street Park, 192 Bangalow Street, Bridgeman Downs",-27.441,152.9454
"Banks Crescent Park, Wynnum West",Park,"Banks Crescent Park, 30 Balnave Street, Wynnum West",-27.4513,153.1498
"Banks Street Reserve, Alderley",Park,"Banks Street Reserve, 26 View Street, Alderley",-27.4342,152.9974
"Banksia Avenue Park, Ashgrove",Park,"Banksia Avenue Park, 56 Banksia Avenue, Ashgrove",-27.4432,152.9776
"Banksia Village Park, Forest Lake",Park,"Banksia Village Park, 17A Banksia Circuit, Forest Lake",-27.6116,152.9658
"Bannister Park, Hendra",Park,"Bannister Park, 116 Gerler Road, Hendra",-27.4173,153.0701
Banyo Community Garden,"Community Garden,Non-Council venue","Banyo Community Garden, 37 Hilltop Place, Banyo",-27.3757,153.083
Banyo Library,Library,"Banyo Library, 284 St Vincents Road, Banyo",-27.3743,153.0786
"Banyo Memorial Park, Banyo",Park,"Banyo Memorial Park, 300 St Vincents Rd, Banyo",-27.3739,153.0784
"Bapaume Road Park (road reserve), Holland Park West",Park,"Bapaume Road Park, 238 Bapaume Road, Holland Park West",-27.5356,153.0632
"Barbour Road Park, Bracken Ridge",Park,"Barbour Road Park, 222 Barbour Road, Bracken Ridge",-27.3232,153.0192
"Barcoorah Street Park, Westlake",Park,"Barcoorah Street Park, 88 Barcoorah Street, Westlake",-27.5484,152.9047
"Bardon Park, Bardon",Park,"Bardon Park, 69 Bowman Parade, Bardon",-27.4566,152.9787
"Barlow Place Park, Boondall",Park,"Barlow Place Park, 19 Sean Street, Boondall",-27.3422,153.0568
"Barnard Street Park, Carindale",Park,"Barnard Street Park, 60 Bridgnorth Street, Carindale",-27.5059,153.1111
Baroona Road Park (road reserve),Park,"Baroona Road Park, 243 Baroona Road, Paddington",-27.4652,152.9926
"Barramundi Street Park, Manly West",Park,"Barramundi Street Park, 30 Barramundi Street, Manly West",-27.4718,153.1673
"Barrett Street Reserve (water reserve), Bracken Ridge",Park,"Barrett Street Reserve (water reserve), 110 Norris Road, Bracken Ridge",-27.3215,153.0341
"Barrington Crescent Park, Wakerley",Park,"Barrington Crescent Park, 11 Barrington Crescent, Wakerley",-27.4866,153.1562
"Barston Place Park, Coorparoo",Park,"Barston Place Park, 23 Norfolk Street, Coorparoo",-27.5018,153.0636
"Bartleys Hill Outlook Reserve, Ascot",Park,"Bartleys Hill Outlook Reserve, 6 Massey Street, Ascot",-27.4319,153.0518
"Barton Road Pocket Park, Hawthorne",Park,"Barton Road Pocket Park, 186 Barton Road, Hawthorne",-27.4582,153.0535
"Barungwarra Bushland Reserve, Bald Hills",Park,"Barungwarra Bushland Reserve, 98 Bald Hills-Burpengary Road, Bald Hills",-27.3038,153.0144
"Barwin Street Park, Wakerley",Park,"Barwin Street Park, 10 Barwin Street, Wakerley",-27.4825,153.1561
"Barwon Street Park, Morningside",Park,"Barwon Street Park, 175 Beverley Street, Morningside",-27.4579,153.0809
"Bayside Park, Manly",Park,"Bayside Park, 450 Esplanade, Manly",-27.4521,153.187
Bayside Parklands,Park,"Bayside Parklands, access is from Wynnum, Manly, Lota and Ransome including Wynnum Road, Manly Road and Chelsea Road",-27.4281,153.1672
"Beaudesert Road Park, Calamvale",Park,"Beaudesert Road Park, 2533 Beaudesert Road, Calamvale",-27.6277412,153.0458374
"Beccaria Park, Doolandella",Park,"Beccaria Park, 8 Beccaria Place, Doolandella",-27.6075,152.9852
"Beckett Road Park, McDowall",Park,"Beckett Road Park, 60 Paramount Circuit, McDowall",-27.3734,152.9918
"Bedford Playground Park, Spring Hill",Park,"Bedford Playground Park, 33 Quarry Street, Spring Hill",-27.4573,153.0283
"Bedgood Park, Milton",Park,"Bedgood Park, 5 Issac Street, Milton",-27.46244,153.005336
Beelarong Community Farm,Community Garden,"Beelarong Community Farm, Corner York and Beverley Streets, Morningside",-27.4602,153.0786
"Behan Crescent Park, Wakerley",Park,"Behan Crescent Park, 30 Behan Crescent, Wakerley",-27.4813,153.1549
"Beirne Lane, Fortitude Valley",General Council venue,"Beirne Lane, Brunswick Street Mall, Fortitude Valley",-27.458036,153.03417
"Bekker Place Park, Kuraby",Park,"Bekker Place Park, 10 Bekker Place, Kuraby",-27.6085,153.0997
"Beldale Park, Sunnybank Hills",Park,"Beldale Park, 12 Dapper Street, Sunnybank Hills",-27.5985,153.0619
Bellbowrie mobile library,Mobile library,"Bellbowrie mobile library, Bellbowrie Shopping Plaza carpark, off Birkin Road, Bellbowrie",-27.5623,152.8885
"Bellbowrie Pool, Bellbowrie",Swimming pool,"Bellbowrie Pool, 47 Birkin Road, Bellbowrie",-27.5638,152.8897
"Bellevue Avenue Park, Gaythorne",Park,"Bellevue Avenue Park, 107A Lade Street, Gaythorne",-27.41,152.983
"Bellevue Terrace Park, St Lucia",Park,"Bellevue Terrace Park, 43 Sir Fred Schonell Drive, St Lucia",-27.4934,152.9957
"Belloy Street Park, Wavell Heights",Park,"Belloy Street Park, 24 Belloy Street, Wavell Heights",-27.3973,153.0429
"Belmont Hills Bushland, Carindale",Park,"Belmont Hills Bushland, 470 Weekes Road, Carindale",-27.5087,153.1208
"Belmont Recreation Reserve, Carina",Park,"Belmont Recreation Reserve, 1006 Old Cleveland Road, Carina",-27.4954,153.0961
"Ben Lomond Street Park, Aspley",Park,"Ben Lomond Street Park, 21 Muneera Crescent, Aspley",-27.3671,153.0076
"Benarrawa Reserve, Corinda",Park,"Benarrawa Reserve, 68 Gray Avenue, Corinda",-27.5428,152.9864
"Benbek Circuit Park, Sunnybank Hills",Park,"Benbek Circuit Park, 15 Benbek Circuit, Sunnybank Hills",-27.6015,153.0427
"Bendell Park, Sunnybank Hills",Park,"Bendell Park, 131 Borella Road, Sunnybank Hills",-27.5922,153.0548
"Benelong Park, Kedron",Park,"Benelong Park, 80 Eleventh Avenue, Kedron",-27.4052,153.0404
"Benjamina Place Park, The Gap",Park,"Benjamina Place Park, 20 Benjamina Place, The Gap",-27.4531,152.9411
"Bensara Place Park, Carseldine",Park,"Bensara Place Park, 8 Salito Street, Carseldine",-27.3572,153.0093
