Trading Name,Outlet Name,Website,Outlet Address,Outlet Suburb,Outlet Postcode,Telephone Number,Online Mail Order Flag,Australia Wide Flag,Overseas Flag,Senior Scheme Flag,Carer Scheme Flag,Business Category,Discount,Latitude,Longitude
@ Beans,@ Beans,(blank),59 Albany Creek Rd,ASPLEY,4034,0431 788 312,No,Yes,No,Yes,No,Cafes,10% discount on presentation of a seniors card.,-27.362013,153.01414
1300 GET TINT,1300 GET TINT,http://www.1300gettint.com.au,U 2  20 Spine St,SUMNER,4074,1300 438 846,No,No,No,Yes,Yes,Window Tinting,"We are pleased to offer 10% discount on all window tinting on homes, offices and vehicles.",-27.565222,152.936375
1300SMILES,1300 Smiles Caloundra Dental Group,www.1300smiles.com.au,22 Minchinton St,CALOUNDRA,4551,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-26.803852,153.131822
1300SMILES,1300 Smiles Mackay,www.1300smiles.com.au,34 Sydney St,MACKAY,4740,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-21.140718,149.186806
1300SMILES,1300SMILES,www.1300smiles.com.au,Bundaberg Burnett Dental - 11 Barolin St,BUNDABERG,4670,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-24.866975,152.348855
1300SMILES,1300SMILES,www.1300smiles.com.au,Post Office Bldg - 155 Bourbong St,BUNDABERG,4670,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-24.865851,152.3484
1300SMILES,1300SMILES,www.1300smiles.com.au,Northshore Medical Cnt - 50 Northshore Blvd,BURDELL,4818,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.254008,146.703032
1300SMILES,1300SMILES,www.1300smiles.com.au,179 Nicklin Way,WARANA,4575,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-26.719185,153.130174
1300SMILES,1300SMILES Barry Street Dental,www.1300smiles.com.au,6 Barry St,WEST GLADSTONE,4680,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-23.864171,151.242979
1300SMILES,1300SMILES Belgian Gardens,www.1300smiles.com.au,"89 Bundock St, Belgian Gardens",TOWNSVILLE,4810,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.247647,146.792608
1300SMILES,1300SMILES Cairns Central,www.1300smiles.com.au,Cairns Central Shp Cnt,CAIRNS,4870,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-16.924746,145.77154
1300SMILES,1300SMILES Dentistry Carindale,www.1300smiles.com.au,Medical Court - Westfield Shp Cnt,CARINDALE,4152,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-27.503159,153.101651
1300SMILES,1300SMILES Douglas,www.1300smiles.com.au,Medilink Retail Cnt - 100 Angus Smith Dr,DOUGLAS,4814,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.320457,146.761994
1300SMILES,1300SMILES Fulham Road,www.1300smiles.com.au,49 Fulham Rd,PIMLICO,4812,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-19.288811,146.785126
1300SMILES,1300SMILES High Street Dental,www.1300smiles.com.au,100 High St,ROCKHAMPTON,4701,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-23.359086,150.528484
1300SMILES,1300SMILES Smithfield,www.1300smiles.com.au,Smithfield Shp Cnt,SMITHFIELD,4878,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-16.838087,145.689297
1300SMILES,1300SMILES Springwood,www.1300smiles.com.au,Chatswood Central Shp Cnt - cnr Chatswood/Magellan Rds,SPRINGWOOD,4127,1300 764 537,No,Yes,No,Yes,Yes,Dentists,10% off the gap amount for general dental services.,-33.694074,150.575818
